,Title,Song Links,Artist,Streams,Date,Token,Loudness
40,Te Boté - Remix,https://open.spotify.com/track/3V8UKqhEK5zBkBb6d6ub8i,Nio Garcia,1556859,2018-10-03,3V8UKqhEK5zBkBb6d6ub8i,-3.445
41,Drip Too Hard,https://open.spotify.com/track/1BxkZE73h9BN3qwuA15TA3,Lil Ba,1547050,2018-10-03,1BxkZE73h9BN3qwuA15TA3,-6.962
42,What About Me (feat. Sosamann),https://open.spotify.com/track/3JX0dOCIAiaR8MP3ryXWuM,Lil Wayne,1528883,2018-10-03,3JX0dOCIAiaR8MP3ryXWuM,-6.566
43,God is a woman,https://open.spotify.com/track/5OCJzvD7sykQEKHH7qAC3C,Ariana Grande,1524472,2018-10-03,5OCJzvD7sykQEKHH7qAC3C,-5.934
44,Jocelyn Flores,https://open.spotify.com/track/7m9OqQk4RVRkw9JJdeAw96,XXXTENTACION,1517380,2018-10-03,7m9OqQk4RVRkw9JJdeAw96,-9.144
45,Shotgun,https://open.spotify.com/track/4ofwffwvvnbSkrMSCKQDaC,George Ezra,1472690,2018-10-03,4ofwffwvvnbSkrMSCKQDaC,-4.733
46,Noticed,https://open.spotify.com/track/7d6XJZjnm7iWcKwYL9z5kC,Lil Mosey,1434610,2018-10-03,7d6XJZjnm7iWcKwYL9z5kC,-7.622
47,One Kiss (with Dua Lipa),https://open.spotify.com/track/7ef4DlsgrMEH11cDZd32M6,Calvin Harris,1398635,2018-10-03,7ef4DlsgrMEH11cDZd32M6,-3.24
48,Dedicate,https://open.spotify.com/track/0Y7di9ZCmB6Elad5WISaPc,Lil Wayne,1390122,2018-10-03,0Y7di9ZCmB6Elad5WISaPc,-6.162
49,Body (feat. Brando),https://open.spotify.com/track/7K7MUBCnzgBAvMVW2RTWNs,Loud Luxury,1387991,2018-10-03,7K7MUBCnzgBAvMVW2RTWNs,-4.399
50,No Es Justo,https://open.spotify.com/track/5qFeMRz4TvetPmzjre9Dq7,J Balvin,1337818,2018-10-03,5qFeMRz4TvetPmzjre9Dq7,-4.494
51,Cuando Te Besé,https://open.spotify.com/track/2XXMDz7SPZ4mSFN1PXfHUy,Becky G,1334311,2018-10-03,2XXMDz7SPZ4mSFN1PXfHUy,-3.713
52,rockstar (feat. 21 Savage),https://open.spotify.com/track/0e7ipj03S05BNilyu5bRzt,Post Malone,1327749,2018-10-03,0e7ipj03S05BNilyu5bRzt,-6.09
53,Can't Be Broken,https://open.spotify.com/track/5cGpjfgAvidLy6znwkCxkP,Lil Wayne,1301670,2018-10-03,5cGpjfgAvidLy6znwkCxkP,-5.997
54,Jackie Chan,https://open.spotify.com/track/4kWO6O1BUXcZmaxitpVUwp,Tiësto,1299819,2018-10-03,4kWO6O1BUXcZmaxitpVUwp,-2.867
55,Good,https://open.spotify.com/track/5Xn4IyTtW6FUGIUyWjbUHG,e (feat. Nicki Minaj & Willy William),1299298,2018-10-03,5Xn4IyTtW6FUGIUyWjbUHG,-3.694
56,no tears left to cry,https://open.spotify.com/track/2qT1uLXPVPzGgFOx4jtEuo,Ariana Grande,1295115,2018-10-03,2qT1uLXPVPzGgFOx4jtEuo,-5.507
57,New Patek,https://open.spotify.com/track/0Fpen1PTuEnCmOJtUU9Iud,Lil Uzi Vert,1295056,2018-10-03,0Fpen1PTuEnCmOJtUU9Iud,-4.963
58,Quiere Beber,https://open.spotify.com/track/3rPAD722s5FFNnwjC91t7Z,Anuel AA,1290022,2018-10-03,3rPAD722s5FFNnwjC91t7Z,-3.482
59,changes,https://open.spotify.com/track/7AFASza1mXqntmGtbxXprO,XXXTENTACION,1284911,2018-10-03,7AFASza1mXqntmGtbxXprO,-10.068
60,God's Plan,https://open.spotify.com/track/6DCZcSspjsKoFjzjrWoCdn,Drake,1283439,2018-10-03,6DCZcSspjsKoFjzjrWoCdn,-9.211
61,High Hopes,https://open.spotify.com/track/1rqqCSm0Qe4I9rUvWncaom,Panic! At The Disco,1275472,2018-10-03,1rqqCSm0Qe4I9rUvWncaom,-2.729
62,No Stylist,https://open.spotify.com/track/04MLEeAMuV9IlHEsD8vF6A,French Montana,1225627,2018-10-03,04MLEeAMuV9IlHEsD8vF6A,-4.589
63,Love Someone,https://open.spotify.com/track/2JqnpexlO9dmvjUMCaLCLJ,Lukas Graham,1178133,2018-10-03,2JqnpexlO9dmvjUMCaLCLJ,-6.557
64,Sin Pijama,https://open.spotify.com/track/2ijef6ni2amuunRoKTlgww,Becky G,1160329,2018-10-03,2ijef6ni2amuunRoKTlgww,-3.695
65,Mala Mía,https://open.spotify.com/track/62o8KoI44JfN7aYxgTnPvh,Maluma,1138770,2018-10-03,62o8KoI44JfN7aYxgTnPvh,-4.883
66,2002,https://open.spotify.com/track/2BgEsaKNfHUdlh97KmvFyo,Anne-Marie,1136858,2018-10-03,2BgEsaKNfHUdlh97KmvFyo,-2.881
67,Let You Love Me,https://open.spotify.com/track/6xtcFXSo8H9BZN637BMVKS,Rita Ora,1133972,2018-10-03,6xtcFXSo8H9BZN637BMVKS,-3.149
68,Praise The Lord (Da Shine) (feat. Skepta),https://open.spotify.com/track/7ycWLEP1GsNjVvcjawXz3z,A$AP Rocky,1129291,2018-10-03,7ycWLEP1GsNjVvcjawXz3z,-8.152
69,Fuck Love (feat. Trippie Redd),https://open.spotify.com/track/7AQim7LbvFVZJE3O8TYgf2,XXXTENTACION,1122434,2018-10-03,7AQim7LbvFVZJE3O8TYgf2,-9.74
70,Shape of You,https://open.spotify.com/track/7qiZfU4dY1lWllzX7mPBI3,Ed Sheeran,1102690,2018-10-03,7qiZfU4dY1lWllzX7mPBI3,-3.183
71,Psycho (feat. Ty Dolla $ign),https://open.spotify.com/track/3swc6WTsr7rl9DqQKQA55C,Post Malone,1092067,2018-10-03,3swc6WTsr7rl9DqQKQA55C,-8.011
72,Amigos Con Derechos,https://open.spotify.com/track/2zDj4WjbNDmrRL6Z4YjjCA,Reik,1089643,2018-10-03,2zDj4WjbNDmrRL6Z4YjjCA,-3.324
73,REMEDY,https://open.spotify.com/track/6jreFSOTUAViWjKyzOC4Kg,Alesso,1082635,2018-10-03,6jreFSOTUAViWjKyzOC4Kg,-4.612
74,Happy Now,https://open.spotify.com/track/4keoy2fqgwGnbWlm3ZVZFa,Zedd,1039434,2018-10-03,4keoy2fqgwGnbWlm3ZVZFa,-5.128
75,STARGAZING,https://open.spotify.com/track/7wBJfHzpfI3032CSD7CE2m,Travis Scott,1032453,2018-10-03,7wBJfHzpfI3032CSD7CE2m,-3.69
76,Perfect,https://open.spotify.com/track/0tgVpDi06FyKpA1z0VMD4v,Ed Sheeran,1016695,2018-10-03,0tgVpDi06FyKpA1z0VMD4v,-6.312
77,Believer,https://open.spotify.com/track/0pqnGHJpmpxLKifKRmU6WP,Imagine Dragons,1009349,2018-10-03,0pqnGHJpmpxLKifKRmU6WP,-4.374
78,Back To You - From 13 Reasons Why – Season 2 Soundtrack,https://open.spotify.com/track/4hQ6UGyWQIGJmHSo0J88JW,Selena Gomez,1002805,2018-10-03,4hQ6UGyWQIGJmHSo0J88JW,-4.856
79,lovely (with Khalid),https://open.spotify.com/track/0u2P5u6lvoDfwTYjAADbn4,Billie Eilish,990987,2018-10-03,0u2P5u6lvoDfwTYjAADbn4,-10.109
80,Shallow,https://open.spotify.com/track/5lK18Pt33xNudq4qYDxIm8,Lady Gaga,987574,2018-10-03,5lK18Pt33xNudq4qYDxIm8,-6.341
81,Sweet but Psycho,https://open.spotify.com/track/25sgk305KZfyuqVBQIahim,Ava Max,987313,2018-10-03,25sgk305KZfyuqVBQIahim,-4.724
82,Yes Indeed,https://open.spotify.com/track/6vN77lE9LK6HP2DewaN6HZ,Lil Ba,986155,2018-10-03,6vN77lE9LK6HP2DewaN6HZ,-9.309
83,IDGAF,https://open.spotify.com/track/76cy1WJvNGJTj78UqeA5zr,Dua Lipa,978710,2018-10-03,76cy1WJvNGJTj78UqeA5zr,-5.975
84,Clandestino,https://open.spotify.com/track/7DrluKkTviBwCc8AV3VGmf,Shakira,975038,2018-10-03,7DrluKkTviBwCc8AV3VGmf,-4.126
85,Whenever (feat. Conor Maynard),https://open.spotify.com/track/3DGar7krWlmrXRFHBcQF6z,Kris Kross Amsterdam,969111,2018-10-03,3DGar7krWlmrXRFHBcQF6z,-5.562
86,Ocean (feat. Khalid),https://open.spotify.com/track/3nc420PXjTdBV5TN0gCFkS,Martin Garrix,958275,2018-10-03,3nc420PXjTdBV5TN0gCFkS,-7.265
87,FRIENDS,https://open.spotify.com/track/08bNPGLD8AhKpnnERrAc6G,Marshmello,957529,2018-10-03,08bNPGLD8AhKpnnERrAc6G,-2.384
88,Ya No Tiene Novio,https://open.spotify.com/track/7uQmJ1jgNzBpATSoWKSPFu,Sebastian Yatra,954613,2018-10-03,7uQmJ1jgNzBpATSoWKSPFu,-1.948
89,Havana (feat. Young Thug),https://open.spotify.com/track/1rfofaqEpACxVEHIZBJe6W,Camila Cabello,953749,2018-10-03,1rfofaqEpACxVEHIZBJe6W,-4.333
90,Asesina,https://open.spotify.com/track/6rbhaJsE4uLzpPf8WYSHDK,Brytiago,944824,2018-10-03,6rbhaJsE4uLzpPf8WYSHDK,-5.233
91,The Middle,https://open.spotify.com/track/09IStsImFySgyp0pIQdqAc,Zedd,941587,2018-10-03,09IStsImFySgyp0pIQdqAc,-3.061
92,Culpables,https://open.spotify.com/track/6q8Lb50EtqNeeJXXe8mMAH,KAROL G,932262,2018-10-03,6q8Lb50EtqNeeJXXe8mMAH,-2.942
93,SLOW DANCING IN THE DARK,https://open.spotify.com/track/0UyljEbX9dqI1K0sqdv6B6,Joji,928876,2018-10-03,0UyljEbX9dqI1K0sqdv6B6,-7.458
94,Nevermind,https://open.spotify.com/track/63SevszngYpZOwf63o61K4,Dennis Lloyd,923076,2018-10-03,63SevszngYpZOwf63o61K4,-8.354
95,Don't Leave Me Alone (feat. Anne-Marie),https://open.spotify.com/track/2zy9TMoZlYGuCNY4TLqG24,David Guetta,916664,2018-10-03,2zy9TMoZlYGuCNY4TLqG24,-7.838
96,I Like Me Better,https://open.spotify.com/track/2P91MQbaiQOfbiz9VqhqKQ,Lauv,914036,2018-10-03,2P91MQbaiQOfbiz9VqhqKQ,-7.621
97,The Ringer,https://open.spotify.com/track/2jt2WxXMCD4zjACthkJQVE,Eminem,913633,2018-10-03,2jt2WxXMCD4zjACthkJQVE,-9.126
98,New Rules,https://open.spotify.com/track/2ekn2ttSfGqwhhate0LSR0,Dua Lipa,911219,2018-10-03,2ekn2ttSfGqwhhate0LSR0,-6.021
99,Say My Name,https://open.spotify.com/track/0YammaEkYSeo9vQYZ1OwS6,David Guetta,907672,2018-10-03,0YammaEkYSeo9vQYZ1OwS6,-5.119
100,High On Life (feat. Bonn),https://open.spotify.com/track/4ut5G4rgB1ClpMTMfjoIuy,Martin Garrix,906501,2018-10-03,4ut5G4rgB1ClpMTMfjoIuy,-6.431
101,Thunder,https://open.spotify.com/track/1zB4vmk8tFRmM9UULNzbLB,Imagine Dragons,900814,2018-10-03,1zB4vmk8tFRmM9UULNzbLB,-4.833
102,Leave Me Alone,https://open.spotify.com/track/14mHfNsSHN0FbLftyjrV9g,Flipp Dinero,887831,2018-10-03,14mHfNsSHN0FbLftyjrV9g,-2.806
103,Nice For What,https://open.spotify.com/track/3CA9pLiwRIGtUBiMjbZmRw,Drake,884069,2018-10-03,3CA9pLiwRIGtUBiMjbZmRw,-6.474
104,Famous (feat. Reginae Carter),https://open.spotify.com/track/05r1GGg1Rhs0RcUg27C82a,Lil Wayne,883572,2018-10-03,05r1GGg1Rhs0RcUg27C82a,-5.664
105,Everybody Dies In Their Nightmares,https://open.spotify.com/track/3GVkPk8mqxz0itaAriG1L7,XXXTENTACION,882530,2018-10-03,3GVkPk8mqxz0itaAriG1L7,-7.066
106,No Me Acuerdo,https://open.spotify.com/track/00EPIEnX1JFjff8sC6bccd,Thalía,878398,2018-10-03,00EPIEnX1JFjff8sC6bccd,-4.247
107,Dark Side Of The Moon (feat. Nicki Minaj),https://open.spotify.com/track/00mrTzjxIRuWJY01sRBJmO,Lil Wayne,877954,2018-10-03,00mrTzjxIRuWJY01sRBJmO,-5.384
108,I'm a Mess,https://open.spotify.com/track/04ZTP5KsCypmtCmQg5tH9R,Bebe Rexha,874432,2018-10-03,04ZTP5KsCypmtCmQg5tH9R,-6.257
109,Love Lies (with Normani),https://open.spotify.com/track/45Egmo7icyopuzJN0oMEdk,Khalid,873164,2018-10-03,45Egmo7icyopuzJN0oMEdk,-5.626
110,Born To Be Yours,https://open.spotify.com/track/0kHyKhJMukHEPfeh8s7rdM,Kygo,871554,2018-10-03,0kHyKhJMukHEPfeh8s7rdM,-5.84
111,All Girls Are The Same,https://open.spotify.com/track/0XySogm94T51XF5F2jumXm,Juice WRLD,844154,2018-10-03,0XySogm94T51XF5F2jumXm,-7.226
112,Trip,https://open.spotify.com/track/7noud145AHZGg74vpWOsCa,Ella Mai,838809,2018-10-03,7noud145AHZGg74vpWOsCa,-5.68
113,Toda - Remix,https://open.spotify.com/track/7nD2JPaxIKUdxd2UWgnaGL,Alex Rose,835112,2018-10-03,7nD2JPaxIKUdxd2UWgnaGL,-7.217
114,I Fall Apart,https://open.spotify.com/track/75ZvA4QfFiZvzhj2xkaWAh,Post Malone,827944,2018-10-03,75ZvA4QfFiZvzhj2xkaWAh,-5.408
115,Lean Wit Me,https://open.spotify.com/track/29tc0GbW0pTSBZSCZF3NWk,Juice WRLD,823576,2018-10-03,29tc0GbW0pTSBZSCZF3NWk,-5.515
116,Look At Me!,https://open.spotify.com/track/6eYxmK9fdL4hwLnXG2zY3s,XXXTENTACION,807404,2018-10-03,6eYxmK9fdL4hwLnXG2zY3s,-6.405
117,Too Good At Good,https://open.spotify.com/track/1mXVgsBdtIVeCLJnSnmtdV,es,807100,2018-10-03,1mXVgsBdtIVeCLJnSnmtdV,-8.279
118,"BIG BANK (feat. 2 Chainz, Big Sean, Nicki Minaj)",https://open.spotify.com/track/0ZNrc4kNeQYD9koZ3KvCsy,YG,804324,2018-10-03,0ZNrc4kNeQYD9koZ3KvCsy,-7.709
119,Meant to Be (feat. Florida Georgia Line),https://open.spotify.com/track/4e4fqjx0Izh4svvTef1z7e,Bebe Rexha,802570,2018-10-03,4e4fqjx0Izh4svvTef1z7e,-6.61
120,Look Alive (feat. Drake),https://open.spotify.com/track/4qKcDkK6siZ7Jp1Jb4m0aL,BlocBoy JB,802479,2018-10-03,4qKcDkK6siZ7Jp1Jb4m0aL,-7.495
121,YOSEMITE,https://open.spotify.com/track/7lAK3oHbfEnvUQWosrMMpR,Travis Scott,797518,2018-10-03,7lAK3oHbfEnvUQWosrMMpR,-6.571
122,Fall,https://open.spotify.com/track/58QhkbaAkLFnn7JwAnAato,Eminem,792506,2018-10-03,58QhkbaAkLFnn7JwAnAato,-5.716
123,Dope Niggaz (feat. Snoop Dogg),https://open.spotify.com/track/2AwyHlbA6f641SEkizD5JG,Lil Wayne,792076,2018-10-03,2AwyHlbA6f641SEkizD5JG,-5.053
124,XO Tour Llif3,https://open.spotify.com/track/7GX5flRQZVHRAGd6B4TmDO,Lil Uzi Vert,788700,2018-10-03,7GX5flRQZVHRAGd6B4TmDO,-6.366
125,Lost In Japan - Remix,https://open.spotify.com/track/575NJxNUVDqwJGdzBrlLbv,Shawn Mendes,785253,2018-10-03,575NJxNUVDqwJGdzBrlLbv,-5.34
126,"If I'm Lyin, I'm Flyin",https://open.spotify.com/track/2uMTscYuCT3BZ0OCzH3MwN,Kodak Black,783381,2018-10-03,2uMTscYuCT3BZ0OCzH3MwN,-5.558
127,Want To,https://open.spotify.com/track/0CBFOvHlyqy30Q5tbyNHfQ,Dua Lipa,772374,2018-10-03,0CBFOvHlyqy30Q5tbyNHfQ,-4.783
128,Drew Barrymore,https://open.spotify.com/track/0OgGn1ofaj55l2PcihQQGV,Bryce Vine,764305,2018-10-03,0OgGn1ofaj55l2PcihQQGV,-7.312
129,Say You Won't Let Go,https://open.spotify.com/track/5uCax9HTNlzGybIStD3vDh,James Arthur,758854,2018-10-03,5uCax9HTNlzGybIStD3vDh,-7.398
130,La player (Bandolera),https://open.spotify.com/track/0VKkyBKCXyR99navhVRqcP,Zion & Lennox,757926,2018-10-03,0VKkyBKCXyR99navhVRqcP,-5.238
131,Darkside,https://open.spotify.com/track/1snWlbcbgQpJfknoI30DWG,Alan Walker,755565,2018-10-03,1snWlbcbgQpJfknoI30DWG,-5.06
132,Hipócrita,https://open.spotify.com/track/6XBjCetHKdO5L9cwMDVffw,Anuel AA,754622,2018-10-03,6XBjCetHKdO5L9cwMDVffw,-2.78
133,Happier,https://open.spotify.com/track/2RttW7RAu5nOAfq6YFvApB,Ed Sheeran,742942,2018-10-03,2RttW7RAu5nOAfq6YFvApB,-7.355
134,All I Am,https://open.spotify.com/track/6X6SdJzxyw7GzxwP2fr9WV,Jess Glynne,742119,2018-10-03,6X6SdJzxyw7GzxwP2fr9WV,-5.199
135,Me Niego (feat. Ozuna & Wisin),https://open.spotify.com/track/6jA8JUuPCGYjFcgw0AoM5T,Reik,740714,2018-10-03,6jA8JUuPCGYjFcgw0AoM5T,-4.449
136,These Days,https://open.spotify.com/track/5CLGzJsGqhCEECcpnFQA8x,Rudimental,740342,2018-10-03,5CLGzJsGqhCEECcpnFQA8x,-4.057
137,Open Letter,https://open.spotify.com/track/2DnH4XlEkghUdE8ymdVom5,Lil Wayne,733975,2018-10-03,2DnH4XlEkghUdE8ymdVom5,-6.299
138,the remedy for a broken heart (why am I so in love),https://open.spotify.com/track/4UKCKdYiLN6IMA5ZESUTL7,XXXTENTACION,728400,2018-10-03,4UKCKdYiLN6IMA5ZESUTL7,-11.192
139,REEL IT IN,https://open.spotify.com/track/5qHirGR7M9tdm6C17DlzSY,Aminé,727169,2018-10-03,5qHirGR7M9tdm6C17DlzSY,-8.677
140,In My Blood,https://open.spotify.com/track/2QZ7WLBE8h2y1Y5Fb8RYbH,Shawn Mendes,726941,2018-10-03,2QZ7WLBE8h2y1Y5Fb8RYbH,-7.321
141,Sin (feat. Jaden Smith),https://open.spotify.com/track/1Jl21sidRpEdlVBvYbssLx,Young Thug,726797,2018-10-03,1Jl21sidRpEdlVBvYbssLx,-11.767
142,There's No Way (feat. Julia Michaels),https://open.spotify.com/track/2hnxrRNzF74mdDzpQZQukQ,Lauv,726304,2018-10-03,2hnxrRNzF74mdDzpQZQukQ,-7.114
143,Flames,https://open.spotify.com/track/66BjcDhhwWCcQIBxHMpKXh,David Guetta,722423,2018-10-03,66BjcDhhwWCcQIBxHMpKXh,-5.892
144,Wasted (feat. Lil Uzi Vert),https://open.spotify.com/track/3obgSF06ki98lYNLNq5vCB,Juice WRLD,721952,2018-10-03,3obgSF06ki98lYNLNq5vCB,-5.024
145,X - Remix,https://open.spotify.com/track/6JjPBQfI2Y8nIjnm65X6Pw,Nicky Jam,718305,2018-10-03,6JjPBQfI2Y8nIjnm65X6Pw,-4.957
146,SWISH,https://open.spotify.com/track/55GiOwtxNajXVbpjjIzMnD,Tyga,711964,2018-10-03,55GiOwtxNajXVbpjjIzMnD,-5.608
147,Self Care,https://open.spotify.com/track/5bJ1DrEM4hNCafcDd1oxHx,Mac Miller,711181,2018-10-03,5bJ1DrEM4hNCafcDd1oxHx,-8.109
148,Closer,https://open.spotify.com/track/7BKLCZ1jbUBVqRi2FVlTVw,The Chainsmokers,703650,2018-10-03,7BKLCZ1jbUBVqRi2FVlTVw,-5.599
149,Blah Blah Blah,https://open.spotify.com/track/0tp6mwUt99QnfY95T30Lqj,Armin van Buuren,698047,2018-10-03,0tp6mwUt99QnfY95T30Lqj,-3.911
150,What Lovers Do (feat. SZA),https://open.spotify.com/track/0GxQ1A5L9xnMOytbP6eKBG,Maroon 5,696223,2018-10-03,0GxQ1A5L9xnMOytbP6eKBG,-5.131
151,Mine,https://open.spotify.com/track/7uzmGiiJyRfuViKKK3lVmR,Bazzi,693359,2018-10-03,7uzmGiiJyRfuViKKK3lVmR,-3.874
152,8 Letters,https://open.spotify.com/track/4zRZAmBQP8vhNPf9i9opXt,Why Don't We,692473,2018-10-03,4zRZAmBQP8vhNPf9i9opXt,-5.702
153,Congratulations,https://open.spotify.com/track/3a1lNhkSLSkpJE4MSHpDu9,Post Malone,683987,2018-10-03,3a1lNhkSLSkpJE4MSHpDu9,-4.183
154,OTW,https://open.spotify.com/track/6Hgh47WXVKtXN5zGOu0hjI,Khalid,679772,2018-10-03,6Hgh47WXVKtXN5zGOu0hjI,-6.183
