,Title,Artist,Streams,Date,Token,Duration,Loudness,Speechiness,Energy,Tempo,Valence,Instrumentalness,Modality
38,Kokain,Bonez MC,585065,2018-10-09,4Bj3usjRTckEJARO0dLbDf,209232,-7.906,0.363,0.677,170.117,0.608,0.0,0
39,Bandito,Twenty One Pilots,584907,2018-10-09,5INKIG4QNuD4xq7qZcfPzp,330987,-8.367,0.028,0.52,127.089,0.427,0.0246,0
40,Off White VLONE (Lil Ba,& Gunna feat. Lil Durk & NAV),583819,2018-10-09,6PoKfDY78ih5OveWirggRX,187465,-8.115,0.418,0.506,140.973,0.153,0.0,0
41,Cut My Lip,Twenty One Pilots,583418,2018-10-09,6gFtgkh8ShkrJn52Cbdhxy,282613,-5.856,0.0355,0.561,111.938,0.678,0.0021,1
42,Remind Me to Forget,Kygo,573318,2018-10-09,6xTU6B6nFwKKTSZ9ySXS80,217293,-6.389,0.0933,0.505,99.017,0.312,0.0,1
43,Smithereens,Twenty One Pilots,615507,2018-10-10,5G6Gt9RtNaeIE418pd4yre,177040,-7.627,0.14,0.548,151.02,0.519,1.01e-05,1
44,Can't Be Broken,Lil Wayne,613745,2018-10-10,5cGpjfgAvidLy6znwkCxkP,193243,-5.997,0.202,0.577,99.288,0.154,0.0,0
45,Neon Gravestones,Twenty One Pilots,600741,2018-10-10,0sXvjZV7p4uvyPN4uQo3FH,240267,-9.834,0.138,0.427,149.45,0.392,0.000309,0
46,Culpables,Manuel Turizo,575071,2018-10-10,3RD0PGolM0mETGHaprwgMn,233930,-11.134,0.296,0.31,177.601,0.764,5.65e-06,1
47,Trip,Ella Mai,868255,2018-10-11,7noud145AHZGg74vpWOsCa,217118,-5.68,0.075,0.605,81.047,0.387,0.0,0
48,All I Am,Jess Glynne,759466,2018-10-11,6X6SdJzxyw7GzxwP2fr9WV,218868,-5.199,0.0373,0.669,122.007,0.536,0.0,1
49,Tints (feat. Kendrick Lamar),Anderson .Paak,697974,2018-10-11,1gnwGVoG7V08vMX3hyr90x,268400,-6.73,0.12,0.833,109.076,0.703,0.0,0
50,What About Me (feat. Sosamann),Lil Wayne,692150,2018-10-11,3JX0dOCIAiaR8MP3ryXWuM,216961,-6.566,0.0401,0.44,118.089,0.22,1.9e-06,1
51,Drew Barrymore,Bryce Vine,649058,2018-10-11,0OgGn1ofaj55l2PcihQQGV,190472,-7.312,0.0595,0.572,151.93,0.25,0.00118,0
52,Dedicate,Lil Wayne,637418,2018-10-11,0Y7di9ZCmB6Elad5WISaPc,189909,-6.162,0.309,0.662,117.975,0.723,0.0,1
53,Jumpsuit,Twenty One Pilots,635552,2018-10-11,1E1uGhNdBe6Dddbgs2KqtZ,238560,-8.329,0.0373,0.61,127.052,0.235,0.162,0
54,Nico And The Niners,Twenty One Pilots,607824,2018-10-11,5SehvGGC53A7SZKCLXQcyt,225040,-7.748,0.185,0.602,140.081,0.328,7.01e-06,0
55,Multi Millionaire (feat. Lil Uzi Vert),Lil Pump,599025,2018-10-11,7q8cy4uoA2itYATsKeXhcq,170959,-3.813,0.0962,0.82,146.009,0.723,0.0,1
56,8 Letters,Why Don't We,587482,2018-10-11,4zRZAmBQP8vhNPf9i9opXt,190027,-5.702,0.031,0.478,88.979,0.255,0.0,0
57,HUNCHO DREAMS,Quavo,1070622,2018-10-12,7pVzUPjJ83QojsVcOthmxP,211963,-7.635,0.534,0.528,153.987,0.232,2.58e-05,1
58,GIVE IT TO EM (feat. Saweetie),Quavo,948471,2018-10-12,1kvt3N2KmoSAunaEJNrgNM,182440,-7.459,0.339,0.491,152.008,0.224,0.0,0
59,SHINE,Quavo,853552,2018-10-12,1yHdfeCpeKPmSzQdfqHtq8,163824,-6.316,0.384,0.612,165.023,0.607,0.0,1
60,CHAMPAGNE ROSÉ (feat. Madonna & Cardi B),Quavo,820643,2018-10-12,2i4WKnGYntsN4jEvDjkKBE,246741,-7.016,0.163,0.681,153.993,0.846,2.51e-06,0
61,Thursday,Jess Glynne,819438,2018-10-12,3ji4bcQugJj5B6NRGYDNwP,214027,-4.441,0.0454,0.582,112.064,0.309,0.0,1
62,KEEP THAT SHIT (feat. Takeoff),Quavo,810718,2018-10-12,2QApWGconWQE8BjaNfh7ik,176112,-7.236,0.189,0.717,153.037,0.607,0.000495,1
63,FUCK 12 (feat. Offset),Quavo,780745,2018-10-12,2jBQmxZpQxF8jJfEdjJ9Qv,264920,-4.664,0.189,0.678,121.023,0.717,0.0,0
64,I'm Still Here,Sia,752482,2018-10-12,5KGTKwOePys7aH4o6EzXEP,241910,-4.569,0.0376,0.719,169.976,0.284,3.86e-05,0
65,HOW BOUT THAT?,Quavo,700236,2018-10-12,7H0NHzIEzCoIENLC2o8Obj,160644,-4.302,0.148,0.819,145.016,0.325,0.0,0
66,LOST (feat. Kid Cudi),Quavo,684999,2018-10-12,2H5CLUmtvo2VHEeWzMtUqW,278760,-7.793,0.642,0.499,132.968,0.114,0.0,0
67,Under Pressure,Shawn Mendes,628538,2018-10-12,2fLyikLZmHxW4XdToFpDdN,233029,-5.345,0.0316,0.478,113.502,0.337,0.0,1
68,500 PS,Bonez MC,617206,2018-10-13,4UOXo3xWnxYdTf3sFyRaUG,181971,-5.883,0.0439,0.924,139.976,0.836,0.00448,0
69,Mi Cama - Remix,KAROL G,566340,2018-10-13,38QmUDpkoYlNbMKvpvAsrE,196320,-4.423,0.0738,0.784,162.958,0.832,0.0,1
70,Fightclub (feat. Samra & AK Ausserkontrolle),Capital Bra,559111,2018-10-13,3eMwf7uAEn1VJcmd12gMmi,237333,-4.374,0.447,0.596,179.989,0.205,0.0,1
71,Chica Paranormal,Paulo Londra,515480,2018-10-14,2r77vqSZkOktTSgmAOoHsV,221214,-4.319,0.0918,0.596,139.937,0.71,0.0,0
72,Me Dijeron,Ozuna,496366,2018-10-14,17UUYZ290omPaJY4wKeyHh,170133,-2.817,0.0524,0.841,94.021,0.798,0.0,0
73,BIGGEST ALLEY OOP,Quavo,557506,2018-10-15,6Q36XucqrejMId3RydVhch,180960,-5.389,0.189,0.408,75.481,0.0548,0.0,1
74,RERUN (feat. Travis Scott),Quavo,552910,2018-10-15,0JYAsQJWIuaYUvZGF1qapT,236948,-4.435,0.309,0.791,153.992,0.529,0.0,1
75,Unica,Ozuna,550778,2018-10-15,33b2wX9d0kxqxhi7lcsC1A,218387,-3.048,0.0449,0.859,174.037,0.705,0.0,1
76,Not Alike (feat. Royce Da 5'9),Eminem,559699,2018-10-16,28FGV3ORH14MYORd7s5dlU,288087,-3.746,0.32,0.756,140.005,0.342,0.0,1
77,Morph,Twenty One Pilots,558736,2018-10-16,01vv2AjxgP4uUyb8waYO5Y,258853,-7.249,0.0806,0.607,90.023,0.518,0.000577,0
78,Want To,Dua Lipa,599782,2018-10-17,0CBFOvHlyqy30Q5tbyNHfQ,212040,-4.783,0.123,0.691,92.082,0.318,0.000132,0
79,Never Be the Same,Camila Cabello,574443,2018-10-17,4eWQlBRaTjPPUlzacqEeoQ,226973,-4.333,0.0747,0.713,129.923,0.243,0.000637,1
80,Self Care,Mac Miller,574405,2018-10-17,5bJ1DrEM4hNCafcDd1oxHx,345133,-8.109,0.206,0.538,141.894,0.177,0.00187,1
81,Better,Khalid,2475929,2018-10-18,4T3fNx3CgwDRRYgmFCbD4J,229413,-10.332,0.0964,0.585,97.565,0.116,0.391,0
82,Noticed,Lil Mosey,1142223,2018-10-18,7d6XJZjnm7iWcKwYL9z5kC,165000,-7.622,0.0603,0.558,79.992,0.493,0.0,1
83,Fine China,Future,1014680,2018-10-18,2NRGaA1GyCmTYfm2GRPkUe,142320,-7.358,0.323,0.542,166.11,0.551,0.0,1
84,New Rules,Dua Lipa,907847,2018-10-18,2ekn2ttSfGqwhhate0LSR0,209320,-6.021,0.0694,0.7,116.073,0.608,1.56e-05,0
85,FLIP THE SWITCH (feat. Drake),Quavo,688004,2018-10-18,1rlIrbWboTRGeKfHhgbJRZ,156195,-5.924,0.331,0.637,86.048,0.496,0.0,0
86,LOSE IT (feat. Lil Ba,),661014,2018-10-18,69PkhA9q3xCWU2CzoZnLAu,237655,-5.924,0.308,0.573,125.035,0.728,0.0,1
87,Let It Fly (feat. Travis Scott),Lil Wayne,606627,2018-10-18,0CBQ0m3mufWH75LTYB3s6h,186872,-3.321,0.317,0.819,89.0,0.746,0.0,1
88,Love No More,Loud Luxury,585685,2018-10-18,15fZrZhdK0g1BS9sDeW6sD,168636,-6.249,0.054,0.678,121.01,0.217,4.82e-05,1
89,Don’t Matter To Me (with Michael Jackson),Drake,584964,2018-10-18,6G8kHiVZ1jW7vHMPVRNZU0,245787,-12.391,0.0574,0.318,103.002,0.138,0.0131,1
90,Perfect Duet (Ed Sheeran & Beyoncé),Ed Sheeran,584365,2018-10-18,1bhUWB0zJMIKr9yVPrkEuI,259550,-7.365,0.0263,0.299,94.992,0.356,0.0,1
91,Madura (feat. Bad Bunny),Cosculluela,575827,2018-10-18,0r9d60ZYPAlFHq8qnUtkXN,190909,-7.639,0.202,0.555,88.029,0.751,1.34e-06,0
92,Close Friends (Lil Ba,& Gunna),575700,2018-10-18,5nzhL67GpF9szXWg5y509A,203881,-5.077,0.375,0.578,158.896,0.698,0.0,0
93,9.13,Khalid,1094556,2018-10-19,1k0QMCm5kF3CBjCQ37vDLl,55720,-15.013,0.0538,0.451,131.72,0.59,0.942,1
94,Cry Alone,Lil Peep,1059165,2018-10-19,4uHscE8VF6F6mKU3ECjIKr,167107,-5.649,0.0337,0.856,160.068,0.285,0.0308,1
95,Oxy (feat. Lil Wayne),Future,974687,2018-10-19,0nWMTq3fBceV1uZlhFn6of,180080,-7.003,0.161,0.526,149.954,0.248,0.0642,1
96,7 Am Freestyle,Future,947551,2018-10-19,1hHe7cirScEJWgAS0JFqTL,192907,-8.92,0.411,0.401,129.976,0.539,0.0,0
97,Salem's Interlude,Khalid,946528,2018-10-19,0v75ti1d2M6pd0sC42UNNN,81933,-12.302,0.162,0.485,80.933,0.457,0.658,0
98,Realer N Realer,Future,868306,2018-10-19,4VMiNOpnjRwSCwmHaUfOMM,170920,-6.29,0.278,0.465,148.028,0.367,0.0,1
99,Different (feat. Yung Bans),Future,847580,2018-10-19,3thLnNvO9IctWoccbsZyJV,151013,-10.512,0.459,0.516,77.058,0.684,0.0,1
100,Blow That Smoke (feat. Tove Lo),Major Lazer,837748,2018-10-19,1wcYgcBH8WW1kXNezuFBqU,223000,-4.93,0.0392,0.703,101.984,0.72,1.14e-05,0
101,Shorty,Future,827219,2018-10-19,5ExHDzOoOhC4xZGPh9zyQZ,121000,-10.638,0.18,0.386,131.971,0.619,0.0,1
102,It's Not Living (If It's Not With You),The 1975,816694,2018-10-19,0D4yVl9Pn45xW2s63MFCmT,248336,-5.338,0.0304,0.837,121.227,0.526,0.000378,1
103,Fingers,ZAYN,806236,2018-10-19,5rBZF2fl4Avi4K0tvrQ0YF,173868,-9.228,0.147,0.426,159.963,0.587,1.56e-05,0
104,WRLD On Drugs,Future,797444,2018-10-19,3xBHLZwRfi0fjO9euaj5zf,217000,-8.084,0.168,0.719,149.97,0.575,1.11e-05,1
105,Ain't Livin Right (feat. Gunna),Future,718044,2018-10-19,0JR7iZZ6Ql79sXW3rbiS3F,230533,-8.06,0.206,0.503,142.011,0.524,0.0,1
106,No Issue,Future,691132,2018-10-19,7L95O7D34EWhwtDCQkwGMR,184960,-11.444,0.404,0.443,74.491,0.722,0.0,0
107,SaintLaurentYSL (feat. Lil Ba,),676819,2018-10-19,1Wc1SQwiThvSu9dMc5opth,168439,-11.199,0.792,0.303,127.981,0.322,0.0,1
108,DrIP DrIp Drip (feat. Meek Mill),Tory Lanez,659766,2018-10-19,39Bq9cOTO0H8M6P9iKLVdq,230440,-4.575,0.0561,0.814,155.02,0.714,0.0,1
109,Transformer (feat. Nicki Minaj),Future,683218,2018-10-20,2MfcvcvWSUkstTDZXYIakq,196333,-7.34,0.165,0.616,156.83,0.287,7.1e-06,1
110,Make It Back,Juice WRLD,594290,2018-10-20,2EhJijFUs0WUmNClDBpYJq,102560,-10.123,0.487,0.387,143.019,0.739,0.0,0
111,Estamos Bien,Bad Bunny,580507,2018-10-20,7glCSQqV5o6NU88Cn4zPZn,208080,-5.618,0.1,0.557,120.118,0.468,4.45e-06,0
112,Blah Blah Blah,Armin van Buuren,576621,2018-10-20,0tp6mwUt99QnfY95T30Lqj,183519,-3.911,0.0682,0.963,103.406,0.16,0.00357,0
113,Red Bentley (feat. Young Thug),Future,569493,2018-10-20,3fFBZvG777xoKyvcrBq7lc,207867,-7.555,0.237,0.609,149.991,0.268,1.61e-05,0
114,"1, 2, 3 (feat. Jason Derulo & De La Ghetto)",Sofia Reyes,566090,2018-10-20,4QtiVmuA88tPQiCOHZuQ5b,201526,-3.112,0.0589,0.895,94.968,0.794,0.0,0
115,Whatever It Takes,Imagine Dragons,494378,2018-10-21,6Qn5zhYkTa37e91HC1D7lb,201240,-5.021,0.0311,0.655,134.945,0.556,0.0,0
116,Always Remember Us This Way,Lady Gaga,1378458,2018-10-22,74iZuPGwyL33VlTr6jTnab,210200,-5.972,0.0409,0.502,129.976,0.296,0.0,1
117,Astronauts,Future,567442,2018-10-22,2vs5ubqg8QUbfyWZpMfvWe,169920,-7.868,0.232,0.586,76.48,0.73,2.66e-06,1
118,Roli Glitzer Glitzer (feat. Luciano & Eno),Capital Bra,560635,2018-10-22,6Yocr5JJOjupv71R5uhye5,251432,-4.931,0.272,0.734,154.965,0.537,0.0,1
119,Wasted (feat. Lil Uzi Vert),Juice WRLD,549138,2018-10-22,3obgSF06ki98lYNLNq5vCB,258475,-5.024,0.202,0.579,144.994,0.502,0.0,1
120,Motion,Khalid,611414,2018-10-23,1gOyBTO1fDLDTH8Ap12Wyp,235920,-7.215,0.0634,0.591,80.977,0.524,0.124,1
121,Yacht Club (feat. Juice WRLD),Lil Yachty,579933,2018-10-23,5R2rsbwCDXORX2tLfprRmM,166343,-7.496,0.394,0.508,159.911,0.457,0.0,1
122,seoul (prod. HONNE),RM,568099,2018-10-23,73ipE4lfZ53pvBbJPXkiEK,275955,-8.63,0.0645,0.664,99.8,0.453,2.47e-05,1
123,Fall,Eminem,567528,2018-10-23,58QhkbaAkLFnn7JwAnAato,262494,-5.716,0.295,0.546,182.973,0.535,0.0,1
124,"Lose Yourself - From ""8 Mile"" Soundtrack",Eminem,564143,2018-10-23,7w9bgPAmPTtrkt2v16QWvQ,326467,-4.554,0.255,0.728,171.388,0.0591,0.00115,1
125,Expectations,Lauren Jauregui,574919,2018-10-24,1EXotCuzdXR34W1MoP6Um7,204067,-7.477,0.0754,0.443,180.08,0.452,1.88e-06,0
126,Jet Lag (feat. Young Scooter),Future,566691,2018-10-24,2OsDoAzo5SGq10qwmKSQBv,271067,-7.495,0.105,0.458,125.049,0.493,0.0,0
127,Don't Cry (feat. XXXTENTACION),Lil Wayne,563691,2018-10-24,5BQrp63SHCVf4bzCzJePne,249450,-6.072,0.319,0.709,111.913,0.21,0.0,1
128,Love Someone,Lukas Graham,1215070,2018-10-25,2JqnpexlO9dmvjUMCaLCLJ,205463,-6.557,0.052,0.415,172.065,0.274,0.0,0
129,SLOW DANCING IN THE DARK,Joji,650497,2018-10-25,0UyljEbX9dqI1K0sqdv6B6,209274,-7.458,0.0261,0.479,88.964,0.284,0.00598,1
130,PASS OUT (feat. 21 Savage),Quavo,630695,2018-10-25,3edzl4zvKFi0D3iuF6cs2f,224903,-4.921,0.208,0.786,143.038,0.441,0.0,0
131,Sin (feat. Jaden Smith),Young Thug,618950,2018-10-25,1Jl21sidRpEdlVBvYbssLx,202533,-11.767,0.165,0.385,125.995,0.235,0.0,0
132,Get Dripped (feat. Playboi Carti),Lil Yachty,613310,2018-10-25,3m2aDCqn8eT5ElXDUiboGU,158769,-8.411,0.462,0.489,130.021,0.919,0.0,1
133,Better,Khalid,2921465,2018-10-26,2OpBganfGk2GVdSlRdxzaX,229320,-10.315,0.0658,0.586,98.035,0.112,0.317,0
134,Love Someone,Lukas Graham,1292535,2018-10-26,0OCRwXbQRdOZ1OtB4Imsp1,205440,-6.581,0.0505,0.409,171.838,0.265,0.0,0
135,Siren,The Chainsmokers,711908,2018-10-26,7Bvp5JUJiyUrMgvH4DR0wH,174400,-4.319,0.133,0.786,150.06,0.272,0.0163,0
136,NO FUN,Joji,659073,2018-10-26,4sbtM9ORGwmxGkXfctXbJq,168418,-6.886,0.0487,0.483,96.974,0.715,0.0,1
137,CAN'T GET OVER YOU (feat. Clams Casino),Joji,636424,2018-10-26,39oeKRgsLeynDIbWuXyA47,107077,-8.797,0.332,0.316,129.914,0.844,0.0771,1
138,Vertigo,Khalid,611667,2018-10-26,06GcodDliPWAYFX2LSFLIu,270413,-7.761,0.0371,0.458,115.989,0.207,0.0257,0
139,All I Am,Jess Glynne,610740,2018-10-26,5GNjiM8jZCgbqjHklAcT9e,219040,-4.799,0.0339,0.682,122.049,0.498,0.0,1
140,MiAMi (feat. Gunna),Tory Lanez,616371,2018-10-29,6bMIExEulvwM2X6zsuiYwr,244470,-3.4,0.231,0.862,160.073,0.357,0.0,1
141,Look What I Found,Lady Gaga,577500,2018-10-29,1l9G7M8gNyQsgOGWZGoQsT,175240,-4.1,0.0417,0.493,97.012,0.447,0.000463,0
142,YEAH RIGHT,Joji,573158,2018-10-29,1VGzxJnVQND7Cg5H5wGj14,174358,-9.573,0.133,0.588,169.033,0.204,0.241,1
143,TEST DRIVE,Joji,571454,2018-10-29,1DMEzmAoQIikcL52psptQL,179423,-8.602,0.0372,0.648,75.004,0.466,0.00316,1
144,Kamikaze,Lil Mosey,569546,2018-10-29,1iPBD72u3nAyFEeardYuBV,139200,-7.539,0.094,0.571,99.999,0.556,0.0,0
145,Meer,Luciano,593356,2018-10-30,6hcqxx32EL884qpJXDstsA,177253,-6.41,0.252,0.638,160.036,0.598,0.000501,0
146,My Blood,Twenty One Pilots,582468,2018-10-30,5HeKOKc4phmLn8e4I7EkzD,229120,-6.609,0.0432,0.723,108.999,0.674,0.022,1
147,Location,Khalid,578233,2018-10-30,152lZdxL1OR0ZMW6KquMif,219080,-11.462,0.425,0.449,80.126,0.326,0.000162,0
148,Cuando Nadie Ve,Morat,576677,2018-10-30,71iAechwVKGu26pahzFL0k,219587,-4.577,0.0616,0.778,95.993,0.84,0.0,0
149,Monster Mash,Bob,914279,2018-10-31,0xxZY5C9xxij3D1HkzbnfC,192040,-14.195,0.357,0.488,69.77,0.707,0.0,0
150,Zombie,The Cranberries,866065,2018-10-31,2IZZqH4K02UIYg5EohpNHF,306411,-9.012,0.0347,0.613,166.96,0.306,0.00359,1
151,Disturbia,Rihanna,840675,2018-10-31,30VrBsh1STRBoIrhQOAwzK,238573,-4.517,0.0574,0.813,124.904,0.717,0.0,0
152,This Is Halloween,The Citizens of Halloween,830149,2018-10-31,3TjhLjBbR74kY1MicLTD9n,196560,-12.823,0.0502,0.508,167.624,0.647,0.0,1
153,(Don't Fear) The Reaper,Blue Öyster Cult,815570,2018-10-31,5QTxFnGygVM4jFQiBovmRo,308120,-8.55,0.0733,0.927,141.47,0.382,0.000211,0
154,This Is Halloween,Marilyn Manson,793624,2018-10-31,7zC3NyXdjzeebeKmXuGvHC,202907,-6.775,0.178,0.944,168.176,0.312,0.000211,0
155,A Nightmare on My Street,DJ Jazzy Jeff & The Fresh Prince,618623,2018-10-31,2aRjuScpka878tUWOsLYpQ,294827,-17.081,0.128,0.486,170.626,0.625,0.0,1
156,"Standard (feat. Trettmann, Gringo, Ufo361 & Gzuz)",KitschKrieg,613049,2018-10-31,4Nip6oiJU24LqcUEi7u19S,195291,-6.591,0.187,0.76,88.999,0.875,0.0,1
157,Tanta Falta,Bryant Myers,600356,2018-10-31,0sPTfDSZgE3KvcvqaKPtEx,181093,-3.497,0.0916,0.728,89.999,0.797,1e-06,1
158,This Feeling (feat. Kelsea Ballerini),The Chainsmokers,1288087,2018-11-01,15kQGEy89K8deJcZVFEn0N,197947,-7.906,0.0439,0.571,105.049,0.449,0.0,1
159,Thriller,Michael Jackson,864496,2018-11-01,3S2R0EVwBSAVMd5UMgKTL0,357267,-4.913,0.0747,0.859,118.458,0.813,0.00018,1
160,Highway to Hell,AC/DC,681839,2018-11-01,2zYzyRzz6pRmhPzyfMEC8s,208400,-4.793,0.132,0.913,115.715,0.422,0.00173,0
161,Checklist (with Calvin Harris) (feat. WizKid),Normani,653950,2018-11-01,5xesHO6GLWTrjsKOjAXRmf,169814,-3.966,0.103,0.624,116.046,0.762,5.16e-06,1
162,"Ghostbusters - from the Original Motion Picture ""Ghostbusters""","Ray Parker, Jr.",608251,2018-11-01,5PIB8aoUJoCRh1O5TEGdOj,240800,-9.7,0.0335,0.717,115.384,0.789,0.0536,0
163,High On Life (feat. Bonn),Martin Garrix,600714,2018-11-01,4ut5G4rgB1ClpMTMfjoIuy,230762,-6.431,0.0311,0.486,128.038,0.368,0.0,0
164,Head Above Water,Avril Lavigne,598902,2018-11-01,1N7YeVU0ZwAFbOhwM61ef6,220850,-5.351,0.0706,0.694,129.921,0.268,0.0,1
165,Starboy,The Weeknd,595729,2018-11-01,7MXVkk9YMctZqd1Srtv4MB,230453,-7.015,0.276,0.588,186.005,0.486,6.35e-06,1
166,Last Memory,Takeoff,591216,2018-11-01,66XXCMX3Na7KNfm5e0tOVZ,171270,-6.179,0.246,0.696,118.001,0.184,0.0,0
